iter	RMSE
0	0.4147151534
1	0.4007927526
2	0.3881381799
3	0.3770834143
4	0.3675300667
5	0.3590681497
6	0.3516858134
7	0.3450088849
8	0.3392906849
9	0.3343936958
10	0.3300735498
11	0.3261253461
12	0.3227461118
13	0.3196099025
14	0.316843976
15	0.3146164813
16	0.3126689964
17	0.3106746256
18	0.3090856076
19	0.3075083516
20	0.3061250673
21	0.3049359128
22	0.3037306673
23	0.3027447203
24	0.3017531091
25	0.3007790498
26	0.3000342206
27	0.2993033172
28	0.2985164585
29	0.2978311098
30	0.2972432837
31	0.2966980385
32	0.2961552944
33	0.2956038715
34	0.2950670644
35	0.2945649041
36	0.2941357717
37	0.2936511085
38	0.2932641626
39	0.2928709721
40	0.2925109026
41	0.2921652488
42	0.2918311675
43	0.2915645316
44	0.2912464261
45	0.2909812949
46	0.2906589339
47	0.2903722239
48	0.2901466097
49	0.2898879036
50	0.2896396582
51	0.2893962164
52	0.2892140501
53	0.2889796308
54	0.2886980728
55	0.2885474926
56	0.2883730941
57	0.2881431169
58	0.2879148314
59	0.287672178
60	0.2874973343
61	0.2872954135
62	0.2871368018
63	0.2869722285
64	0.2868121853
65	0.2866139921
66	0.2863917366
67	0.2862575101
68	0.2861052358
69	0.2859495169
70	0.2857964677
71	0.2855491896
72	0.285410342
73	0.2852913171
74	0.2851423298
75	0.2849831384
76	0.2848729973
77	0.2846817141
78	0.2845326343
79	0.2843975146
80	0.2842777818
81	0.2841253972
82	0.2839598988
83	0.2838569915
84	0.2836802484
85	0.2835824954
86	0.2834779226
87	0.2833671023
88	0.2832187142
89	0.2830548143
90	0.2829665136
91	0.2828716177
92	0.2827499268
93	0.2826176437
94	0.2825260341
95	0.2824024563
96	0.2822898678
97	0.2821302834
98	0.2820560941
99	0.2819308672
100	0.2818265434
101	0.2817280729
102	0.281643394
103	0.2814971171
104	0.2814188932
105	0.2813088199
106	0.2811926504
107	0.2811064873
108	0.2810339403
109	0.2809473818
110	0.2807702406
111	0.2806584604
112	0.2805438408
113	0.2804480355
114	0.2803357844
115	0.280242686
116	0.2801402282
117	0.2800220085
118	0.2799447289
119	0.2798430023
120	0.2797166194
121	0.2796233695
122	0.2795328655
123	0.279435688
124	0.2793241926
125	0.2792299061
126	0.2791178056
127	0.2790531278
128	0.2789673971
129	0.2788879977
130	0.2787646198
131	0.2786808348
132	0.2785855624
133	0.2784981751
134	0.2784110118
135	0.2782906671
136	0.2782216591
137	0.2781402885
138	0.2780740915
139	0.2780087787
140	0.2779202947
141	0.2778158984
142	0.277674505
143	0.2775792618
144	0.2775127388
145	0.2774193172
146	0.2773202975
147	0.2772415818
148	0.2771531163
149	0.2770965034
150	0.2770171048
151	0.2769571865
152	0.2768617014
153	0.2767902624
154	0.2767032868
155	0.2765821965
156	0.276515208
157	0.2764454167
158	0.2763789744
159	0.2762879875
160	0.2762286349
161	0.2761143456
162	0.2760329421
163	0.2759384396
164	0.2758338261
165	0.2757284758
166	0.275658754
167	0.2755585391
168	0.2754927473
169	0.275431877
170	0.2753542103
171	0.2752855588
172	0.2752008907
173	0.275095462
174	0.2750132199
175	0.2749451081
176	0.2748329256
177	0.2747184614
178	0.2746416356
179	0.2745738728
180	0.2745077296
181	0.2744494664
182	0.2743692659
