iter	Passed	Remaining
0	63	63722
1	67	33465
2	71	23612
3	74	18505
4	77	15434
5	80	13312
6	83	11799
7	86	10755
8	89	9867
9	92	9160
10	95	8594
11	98	8102
12	101	7687
13	104	7334
14	106	7017
15	110	6765
16	112	6525
17	115	6311
18	119	6163
19	122	5986
20	125	5830
21	128	5692
22	130	5553
23	133	5431
24	136	5326
25	139	5221
26	142	5136
27	145	5042
28	147	4954
29	151	4882
30	153	4808
31	156	4731
32	159	4668
33	162	4604
34	164	4541
35	167	4492
36	170	4435
37	172	4379
38	175	4328
39	178	4292
40	181	4243
41	184	4208
42	187	4167
43	189	4125
44	192	4092
45	195	4054
46	198	4018
47	201	3988
48	203	3952
49	206	3918
50	209	3890
51	211	3861
52	214	3831
53	217	3806
54	219	3778
55	222	3752
56	225	3728
57	228	3703
58	230	3679
59	233	3659
60	236	3633
61	238	3610
62	241	3592
63	244	3573
64	246	3551
65	249	3532
66	252	3513
67	254	3493
68	257	3477
69	260	3460
70	263	3441
71	265	3426
72	268	3409
73	271	3393
74	274	3382
75	276	3365
76	279	3350
77	282	3338
78	285	3323
79	287	3308
80	290	3297
81	293	3283
82	295	3269
83	298	3259
84	301	3246
85	304	3233
86	307	3222
87	309	3208
88	312	3196
89	315	3188
90	317	3175
91	320	3164
92	323	3155
93	326	3143
94	328	3131
95	331	3123
96	334	3112
97	337	3102
98	340	3096
99	342	3086
100	345	3077
101	348	3068
102	351	3059
103	353	3049
104	356	3039
105	359	3030
106	362	3022
107	365	3017
108	368	3009
109	370	3000
110	373	2993
111	376	2984
112	378	2974
113	381	2967
114	384	2959
115	387	2952
116	390	2945
117	392	2937
118	395	2930
119	398	2923
120	401	2914
121	404	2907
122	406	2899
123	409	2891
124	412	2884
125	414	2877
126	417	2870
127	420	2862
128	423	2857
129	425	2850
130	428	2844
131	431	2838
132	434	2832
133	437	2826
134	440	2820
135	442	2813
136	445	2806
137	448	2799
138	450	2792
139	453	2786
140	456	2780
141	459	2774
142	462	2769
143	465	2764
144	467	2757
145	470	2752
146	473	2745
147	476	2742
148	479	2737
149	481	2730
150	484	2724
151	487	2719
152	490	2712
153	492	2707
154	495	2702
155	498	2696
156	500	2689
157	503	2684
158	506	2679
159	509	2674
160	512	2669
161	514	2663
162	517	2659
163	520	2655
164	523	2649
165	526	2643
166	529	2639
167	531	2634
168	534	2629
169	537	2625
170	540	2620
171	543	2615
172	546	2613
173	549	2608
174	552	2603
175	555	2598
176	557	2593
177	561	2591
178	563	2585
179	566	2579
180	569	2576
181	572	2572
182	575	2569
183	578	2565
184	581	2560
185	584	2557
186	588	2557
187	591	2555
188	594	2552
189	597	2548
190	600	2544
191	603	2540
192	606	2537
193	610	2535
194	612	2529
195	615	2525
196	618	2521
197	621	2517
198	624	2512
199	627	2508
200	630	2504
201	632	2499
202	635	2495
203	638	2489
204	640	2484
205	643	2481
206	646	2476
207	649	2471
208	652	2467
209	654	2462
210	657	2458
211	660	2454
212	663	2450
213	665	2445
214	668	2441
215	671	2436
216	674	2433
217	677	2430
218	680	2425
219	682	2421
220	685	2417
221	688	2412
222	691	2409
223	694	2405
224	697	2403
225	700	2398
226	703	2394
227	705	2389
228	708	2385
229	711	2381
230	713	2376
231	716	2373
232	719	2368
233	722	2363
234	725	2360
235	727	2356
236	730	2351
237	733	2348
238	736	2343
239	738	2339
240	741	2335
241	744	2331
242	746	2326
243	749	2322
244	752	2318
245	755	2314
246	757	2310
247	760	2306
248	763	2302
249	766	2298
250	768	2294
251	771	2290
252	774	2286
253	777	2282
254	779	2278
255	782	2274
256	785	2270
257	788	2266
258	790	2262
259	793	2258
260	796	2254
261	798	2250
262	801	2246
263	804	2242
264	807	2238
265	809	2234
266	812	2230
267	815	2226
268	817	2222
269	820	2218
270	823	2215
271	826	2211
272	828	2206
273	831	2202
274	834	2199
275	836	2195
276	839	2191
277	842	2187
278	845	2184
279	848	2180
280	850	2177
281	853	2173
282	856	2169
283	859	2165
284	861	2161
285	864	2158
286	867	2154
287	869	2150
288	872	2147
289	875	2143
290	877	2139
291	880	2136
292	883	2132
293	886	2128
294	889	2124
295	891	2121
296	894	2117
297	897	2113
298	900	2110
299	902	2106
300	905	2103
301	908	2099
302	910	2095
303	913	2091
304	916	2087
305	918	2084
306	922	2081
307	924	2077
308	927	2074
309	930	2070
310	932	2066
311	935	2063
312	938	2060
313	941	2056
314	944	2052
315	946	2049
316	949	2045
317	952	2041
318	954	2038
319	957	2035
320	960	2031
321	963	2028
322	965	2024
323	968	2020
324	971	2017
325	974	2013
326	976	2010
327	979	2006
328	982	2002
329	984	1999
330	987	1996
331	990	1992
332	993	1989
333	996	1986
334	998	1982
335	1001	1979
336	1004	1976
337	1007	1972
338	1009	1969
339	1012	1966
340	1015	1962
341	1018	1959
342	1021	1956
343	1023	1952
344	1026	1949
345	1029	1946
346	1032	1942
347	1035	1939
348	1037	1936
349	1040	1932
350	1043	1929
351	1046	1926
352	1048	1922
353	1051	1919
354	1054	1915
355	1057	1912
356	1060	1909
357	1063	1906
358	1066	1903
359	1069	1901
360	1073	1899
361	1076	1897
362	1079	1894
363	1082	1892
364	1086	1890
365	1089	1887
366	1093	1885
367	1096	1882
368	1099	1879
369	1102	1876
370	1105	1873
371	1107	1870
372	1111	1867
373	1113	1864
374	1116	1860
375	1119	1858
376	1123	1856
377	1126	1853
378	1129	1850
379	1132	1847
380	1135	1844
381	1138	1841
382	1140	1837
383	1143	1834
384	1146	1831
385	1149	1827
386	1151	1824
387	1161	1831
388	1169	1836
389	1176	1840
390	1181	1839
391	1185	1838
392	1189	1837
393	1193	1835
394	1196	1832
395	1199	1829
396	1202	1826
397	1204	1822
398	1207	1819
399	1210	1816
400	1213	1812
401	1216	1809
402	1218	1805
403	1221	1802
404	1224	1799
405	1227	1795
406	1229	1792
407	1232	1788
408	1235	1785
409	1238	1781
410	1240	1778
411	1243	1774
412	1246	1771
413	1249	1767
414	1251	1764
415	1255	1761
416	1257	1758
417	1260	1755
418	1263	1752
419	1266	1748
420	1269	1745
421	1271	1741
422	1274	1738
423	1277	1735
424	1280	1732
425	1283	1728
426	1285	1725
427	1288	1721
428	1290	1717
429	1293	1714
430	1296	1711
431	1299	1708
432	1302	1705
433	1304	1701
434	1308	1699
435	1310	1695
436	1313	1691
437	1316	1688
438	1318	1685
439	1321	1682
440	1324	1679
441	1327	1675
442	1329	1671
443	1332	1668
444	1335	1665
445	1337	1661
446	1340	1658
447	1343	1654
448	1345	1651
449	1348	1648
450	1351	1644
451	1353	1641
452	1356	1637
453	1358	1634
454	1361	1630
455	1364	1627
456	1366	1624
457	1369	1620
458	1372	1617
459	1375	1615
460	1379	1612
461	1382	1609
462	1385	1606
463	1388	1603
464	1391	1600
465	1394	1597
466	1396	1594
467	1400	1591
468	1403	1588
469	1406	1585
470	1409	1582
471	1412	1579
472	1415	1576
473	1418	1573
474	1421	1570
475	1424	1568
476	1427	1565
477	1431	1562
478	1433	1559
479	1436	1556
480	1440	1553
481	1442	1550
482	1445	1547
483	1449	1544
484	1452	1541
485	1454	1538
486	1458	1535
487	1460	1532
488	1463	1529
489	1466	1526
490	1469	1523
491	1472	1520
492	1474	1516
493	1477	1513
494	1480	1510
495	1483	1507
496	1485	1503
497	1488	1500
498	1491	1497
499	1493	1493
500	1496	1490
501	1499	1487
502	1502	1484
503	1505	1481
504	1507	1477
505	1510	1474
506	1513	1471
507	1515	1467
508	1518	1464
509	1521	1461
510	1523	1458
511	1526	1454
512	1529	1451
513	1531	1448
514	1534	1445
515	1537	1441
516	1539	1438
517	1542	1435
518	1545	1432
519	1548	1429
520	1550	1425
521	1554	1423
522	1557	1420
523	1559	1416
524	1562	1413
525	1565	1410
526	1567	1407
527	1570	1403
528	1573	1400
529	1575	1397
530	1579	1394
531	1581	1391
532	1584	1388
