iter	RMSE
0	0.4426370904
1	0.4302306409
2	0.4188484647
3	0.4088274532
4	0.399732249
5	0.3910810564
6	0.3835256949
7	0.3766782856
8	0.3700359907
9	0.3642361715
10	0.3589549158
11	0.3538602922
12	0.3492737568
13	0.3452351057
14	0.3411155231
15	0.3379188735
16	0.3347663003
17	0.3320457809
18	0.3293096965
19	0.3269314116
20	0.3248594639
21	0.3228668028
22	0.3210681955
23	0.319194601
24	0.3176602903
25	0.3161006445
26	0.3147075371
27	0.3132636058
28	0.3121335008
29	0.3111136036
30	0.3101197045
31	0.3090908931
32	0.30808166
33	0.3071995383
34	0.3063792604
35	0.3055904915
36	0.3048030344
37	0.3041724338
38	0.3035934336
39	0.303013486
40	0.3024343839
41	0.3018911702
42	0.3015275106
43	0.3010345311
44	0.3004786757
45	0.3000885526
46	0.2995997645
47	0.2991770743
48	0.2988049998
49	0.2984939974
50	0.298136577
51	0.2977558262
52	0.2973409059
53	0.2970022821
54	0.2967596314
55	0.296480302
56	0.2961658663
57	0.2958589228
58	0.2957066976
59	0.2954929078
60	0.2952708255
61	0.2950543856
62	0.2948548535
63	0.2946595663
64	0.2944001214
65	0.294089941
66	0.2938479411
67	0.2935845699
68	0.293315666
69	0.2931949522
70	0.2929888695
71	0.2928155501
72	0.2925944122
73	0.2923253794
74	0.2922163164
75	0.2920387081
76	0.2918875165
77	0.2917324515
78	0.2915337155
79	0.2913037461
80	0.2911560707
81	0.2910149623
82	0.2908423433
83	0.2907071462
84	0.2905866994
85	0.2904805657
86	0.2903044666
87	0.2901552363
88	0.2899679503
89	0.2897524603
90	0.2895531486
91	0.2893862499
92	0.2892394257
93	0.289095048
94	0.2889187114
95	0.2887417532
96	0.2885778779
97	0.2884086859
98	0.2882915806
99	0.2881892326
100	0.2880436663
101	0.2879409907
102	0.2878142988
103	0.2875518288
104	0.287347895
105	0.287182482
106	0.2870513426
107	0.2868980599
108	0.2867418318
109	0.2866031193
110	0.286513525
111	0.2863544946
112	0.2862145706
113	0.286064088
114	0.2859226123
115	0.2857902397
116	0.2856566277
117	0.2855577072
118	0.2854294329
119	0.2853178746
120	0.2851719954
121	0.2850781823
122	0.2849518903
123	0.2848309681
124	0.2847412148
125	0.2846082039
126	0.2844038921
127	0.2843355391
128	0.2841423051
129	0.2840512971
130	0.283906573
131	0.2838181261
132	0.2837160328
133	0.2836283122
134	0.2834894638
135	0.283379297
136	0.2832065102
137	0.2830824388
138	0.2829762979
139	0.2828482176
140	0.2827870018
141	0.2826502184
142	0.2825346262
143	0.2823894469
144	0.2823053702
145	0.2821946387
146	0.2820861758
147	0.2819697314
148	0.2818780677
149	0.281690463
150	0.2815552394
151	0.2814335675
152	0.2813116622
153	0.2811600558
154	0.2811134512
155	0.2810446419
156	0.2809285921
157	0.2808329836
158	0.2807818015
159	0.2807096148
160	0.2805682416
161	0.2804690586
162	0.2803682671
163	0.2801741336
164	0.2800615199
165	0.2799063273
166	0.2797802818
167	0.2797067203
168	0.2795886679
169	0.2795043551
170	0.2793518804
171	0.279241665
172	0.2791664869
173	0.2790509443
174	0.2789873511
175	0.2788907123
176	0.2787650044
177	0.2786590726
178	0.2785333182
179	0.2784144271
180	0.2782935358
181	0.2782421622
182	0.2781222571
183	0.2779575206
184	0.2778900066
185	0.2777649027
186	0.2776400921
187	0.277504063
188	0.2773610248
189	0.2773194412
190	0.2772111942
191	0.2770993759
192	0.2769420204
193	0.2768158075
194	0.2767822607
195	0.2767178928
196	0.2766142761
197	0.2765466726
198	0.2764711564
199	0.2762978898
200	0.2761469591
201	0.276074902
202	0.2759626166
203	0.2758630931
204	0.2757679055
205	0.275703601
206	0.2755751313
207	0.2754961906
208	0.2753367513
209	0.2752466329
210	0.2751320349
211	0.2750541355
212	0.2749401079
213	0.2748873827
214	0.274854321
215	0.2747141007
216	0.2746337535
217	0.274501588
218	0.2744029909
219	0.2743000716
220	0.274196865
221	0.2740865369
222	0.2739888968
223	0.2738934888
224	0.2737913033
225	0.273718543
226	0.2735940255
227	0.2734893745
228	0.2734117019
229	0.2732688115
230	0.2732026551
231	0.2730790992
232	0.2730083637
233	0.2729040687
234	0.2727755225
235	0.2726812321
236	0.2726208442
237	0.2725089764
238	0.2724454657
239	0.2723560698
240	0.2722534815
241	0.2721188523
242	0.2720552888
243	0.2719697249
244	0.2718840644
245	0.2717616944
246	0.271664982
247	0.2715843772
248	0.2714270494
249	0.271341051
250	0.2712311496
251	0.2711113881
252	0.270965673
253	0.2708895032
254	0.2708160987
255	0.2706911175
256	0.2705972848
257	0.2704936035
258	0.2703915912
259	0.2703091873
260	0.2702438066
261	0.2701296574
262	0.2700049649
263	0.2699373724
264	0.2698566444
265	0.2697523549
266	0.2696646938
267	0.2696334316
268	0.2695671626
269	0.2694834308
