iter	Passed	Remaining
0	1	1835
1	4	2138
2	5	1951
3	7	1870
4	9	1845
5	11	1836
6	12	1830
7	15	1873
8	17	1878
9	18	1874
10	20	1870
11	22	1863
12	24	1851
13	26	1842
14	28	1846
15	30	1848
16	32	1853
17	33	1847
18	35	1843
19	37	1850
20	39	1850
21	41	1840
22	43	1840
23	45	1835
24	46	1824
25	48	1818
26	50	1816
27	52	1813
28	54	1810
29	55	1808
30	57	1806
31	59	1801
32	61	1809
33	63	1807
34	65	1808
35	67	1806
36	69	1806
37	71	1806
38	73	1802
39	75	1802
40	76	1801
41	78	1801
42	81	1815
43	83	1812
44	85	1811
45	87	1809
46	89	1813
47	91	1814
48	93	1810
49	95	1810
50	97	1806
51	98	1802
52	100	1800
53	102	1794
54	104	1789
55	105	1786
56	107	1781
57	109	1778
58	111	1774
59	113	1779
60	115	1775
61	117	1773
62	119	1770
63	120	1767
64	122	1765
65	124	1762
66	126	1762
67	128	1761
68	130	1762
69	132	1760
70	134	1756
71	136	1763
72	138	1762
73	140	1759
74	142	1757
75	144	1756
76	146	1754
77	148	1751
78	150	1749
79	151	1747
80	153	1745
81	155	1742
82	157	1740
83	159	1739
84	161	1737
85	163	1734
86	164	1730
87	166	1728
88	168	1728
89	170	1726
90	172	1724
91	174	1722
92	176	1722
93	178	1719
94	180	1716
95	182	1714
96	184	1715
97	186	1714
98	188	1713
99	190	1710
100	191	1708
101	194	1708
102	196	1706
103	198	1706
104	199	1703
105	201	1702
106	203	1701
107	205	1699
108	207	1697
109	209	1695
110	211	1692
111	213	1691
112	215	1689
113	217	1687
114	219	1686
115	221	1684
116	222	1682
117	224	1680
118	226	1676
119	228	1675
120	230	1674
121	232	1671
122	234	1668
123	235	1666
124	237	1664
125	239	1661
126	241	1659
127	243	1657
128	245	1655
129	247	1653
130	248	1649
131	250	1646
132	252	1643
133	253	1641
134	255	1639
135	257	1635
136	259	1634
137	261	1631
138	263	1629
139	264	1627
140	266	1624
141	268	1621
142	270	1619
143	272	1617
144	273	1614
145	275	1612
146	277	1609
147	279	1607
148	281	1605
149	282	1602
150	284	1600
151	286	1597
152	287	1594
153	289	1592
154	291	1589
155	293	1587
156	295	1584
157	296	1582
158	298	1580
159	301	1582
160	303	1579
161	304	1576
162	306	1573
163	308	1571
164	310	1569
165	311	1567
166	313	1565
167	315	1563
168	317	1561
169	319	1558
170	321	1556
171	322	1553
172	324	1550
173	326	1547
174	327	1545
175	329	1542
176	331	1540
177	333	1537
178	334	1535
179	336	1533
180	338	1531
181	340	1528
182	341	1525
183	343	1523
184	345	1520
185	346	1517
186	348	1515
187	350	1513
188	352	1510
189	353	1508
190	355	1506
191	357	1503
192	359	1501
193	360	1498
194	362	1495
195	364	1493
196	365	1491
197	367	1488
198	369	1486
199	370	1483
200	372	1481
201	374	1481
202	376	1478
203	378	1476
204	380	1474
205	381	1472
206	383	1469
207	385	1467
208	387	1465
209	388	1463
210	390	1460
211	392	1459
212	394	1456
213	396	1454
214	397	1452
215	399	1450
216	401	1448
217	403	1446
218	404	1443
219	406	1441
220	408	1438
221	409	1436
222	411	1434
223	413	1432
224	415	1429
225	416	1426
226	418	1425
227	420	1423
228	422	1421
229	424	1419
230	425	1417
231	427	1415
232	429	1412
233	430	1410
234	432	1408
235	434	1406
236	436	1404
237	437	1401
238	439	1400
239	441	1397
240	443	1396
241	445	1394
242	446	1392
243	448	1389
244	450	1388
245	452	1386
246	454	1384
247	455	1382
248	457	1379
249	459	1378
250	461	1375
251	462	1373
252	464	1371
253	466	1369
254	468	1367
255	469	1365
256	471	1364
257	473	1362
258	475	1360
259	477	1359
260	479	1358
261	481	1356
262	483	1355
263	485	1353
264	487	1351
265	489	1350
266	491	1348
267	493	1346
268	494	1344
269	496	1343
270	498	1341
271	500	1340
272	502	1338
273	504	1336
274	506	1334
275	508	1333
276	510	1333
277	512	1331
278	514	1329
279	516	1328
280	518	1326
281	520	1325
282	522	1323
283	524	1322
284	526	1320
285	528	1318
286	529	1316
287	531	1314
288	533	1312
289	535	1310
290	537	1309
291	539	1307
292	541	1306
293	543	1304
294	545	1304
295	547	1302
296	549	1300
297	551	1298
298	553	1296
299	554	1294
300	556	1292
301	558	1290
302	560	1288
303	562	1286
304	563	1284
305	565	1282
306	567	1280
307	569	1278
308	570	1276
309	572	1274
310	574	1273
311	576	1271
312	578	1270
313	581	1269
314	583	1269
315	585	1267
316	587	1266
317	590	1265
318	592	1264
319	594	1263
320	596	1261
321	598	1260
322	600	1258
323	602	1257
324	604	1256
325	607	1255
326	609	1254
327	613	1256
328	615	1254
329	617	1254
330	621	1256
331	626	1259
332	628	1258
333	630	1256
334	632	1255
335	634	1253
336	636	1252
337	638	1250
338	640	1249
339	642	1247
340	645	1246
341	647	1245
342	649	1244
343	651	1242
344	653	1240
345	655	1238
346	657	1236
347	659	1235
348	661	1234
349	663	1232
350	665	1230
351	667	1229
352	669	1227
353	671	1225
354	673	1223
355	675	1222
356	677	1221
357	679	1219
358	681	1217
359	683	1215
360	686	1214
361	687	1212
362	690	1211
363	692	1209
364	694	1208
365	696	1206
366	698	1205
367	700	1203
368	703	1202
369	704	1200
370	707	1198
371	709	1197
